Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      2.28     0.00  1625532     0.00     0.00  Minisat::vec<Minisat::Solver::Watcher>::vec()
  0.00      2.28     0.00  1625532     0.00     0.00  Minisat::vec<Minisat::Solver::Watcher>::~vec()
  0.00      2.28     0.00  1625532     0.00     0.00  Minisat::vec<char>::push(char const&)
  0.00      2.28     0.00  1530891     0.00     0.00  std::tr1::__detail::_Hashtable_iterator_base<std::pair<aalta_formula const, int>, false>::_Hashtable_iterator_base(std::tr1::__detail::_Hash_node<std::pair<aalta_formula const, int>, false>*, std::tr1::__detail::_Hash_node<std::pair<aalta_formula const, int>, false>**)
  0.00      2.28     0.00  1524395     0.00     0.00  Minisat::vec<Minisat::Lit>::clear(bool)
  0.00      2.28     0.00  1423666     0.00     0.00  aalta_formula::~aalta_formula()
  0.00      2.28     0.00  1363724     0.00     0.00  Minisat::Solver::mkVarData(unsigned int, int)
  0.00      2.28     0.00  1241117     0.00     0.00  Minisat::Solver::VarOrderLt::operator()(int, int) const
  0.00      2.28     0.00  1209618     0.00     0.00  Minisat::ClauseAllocator::operator[](unsigned int)
  0.00      2.28     0.00  1196205     0.00     0.00  std::tr1::__detail::_Hashtable_iterator_base<aalta_formula*, false>::_Hashtable_iterator_base(std::tr1::__detail::_Hash_node<aalta_formula*, false>*, std::tr1::__detail::_Hash_node<aalta_formula*, false>**)
  0.00      2.28     0.00  1171185     0.00     0.00  Minisat::vec<Minisat::Lit>::operator[](int) const
  0.00      2.28     0.00  1033767     0.00     0.00  Minisat::vec<int>::operator[](int) const
  0.00      2.28     0.00   998869     0.00     0.00  Minisat::vec<Minisat::Solver::Watcher>::size() const
  0.00      2.28     0.00   985306     0.00     0.00  Minisat::vec<Minisat::Solver::Watcher>::push(Minisat::Solver::Watcher const&)
  0.00      2.28     0.00   952874     0.00     0.00  std::tr1::hash<int>::operator()(int) const
  0.00      2.28     0.00   934693     0.00     0.00  Minisat::vec<Minisat::Lit>::operator Minisat::Lit*()
  0.00      2.28     0.00   934693     0.00     0.00  void Minisat::sort<Minisat::Lit>(Minisat::vec<Minisat::Lit>&)
  0.00      2.28     0.00   934693     0.00     0.00  void Minisat::sort<Minisat::Lit, Minisat::LessThan_default<Minisat::Lit> >(Minisat::Lit*, int, Minisat::LessThan_default<Minisat::Lit>)
  0.00      2.28     0.00   934693     0.00     0.00  void Minisat::sort<Minisat::Lit, Minisat::LessThan_default<Minisat::Lit> >(Minisat::vec<Minisat::Lit>&, Minisat::LessThan_default<Minisat::Lit>)
  0.00      2.28     0.00   934302     0.00     0.00  Minisat::Heap<Minisat::Solver::VarOrderLt>::parent(int)
  0.00      2.28     0.00   912784     0.00     0.00  std::_Select1st<std::pair<aalta_formula const, int> >::operator()(std::pair<aalta_formula const, int>&) const
